label	x_train
3	 srds我真的要说，门面的正确用法终于在某消失后体现了出来 哈哈哈哈哈可可爱爱 好家伙！ OMG 快回国吧 往后就是大人啦 深夜emo最近划的越深越觉得划里有实力的好舞台真的多比如之前winwin和ten的双人舞就俩仨四个的分别搞个小舞台这种不比ltr那一分多钟不知所云直接劝退的拉绝吗不比二十几个人跟啥舞团一样好吗…… 我突然意识到三个月我换了三波墙头好家伙 治愈time 银河护卫队也是队！ 果然 私下是撒娇的 钟辰乐就是最乐观的小孩 评论区快乐源泉哈哈哈哈哈 再次感叹追星最大遗憾之一就是因为内对养成的偏见错过了dream的奶团子时期 llllb就是我本人 顶级门面刻烟吸肺 美貌杀人 ten杀疯了 貂老师今天也是儿女双全的一天 dream！改变我养成偏见的dream！ my German 男亲 彭冠英演技 太棒了有剧看了！ 我现在有一种 和世界脱离太久不知如何连起来的感觉  目前最爱条梦和make a wish组一个妈粉心态，一个颜狗天堂 xswl什么鬼啊哈哈哈哈哈 瞬间感觉梦回rookies 虽然除了work it和语气词基本啥也没唱，但是架不住帅啊  绝了 划人我都差不多记住了，这一起回归又给我整迷惑了 完全搞不清哪个队哪些人到底在打那首歌  ldn太A了⑧  哈哈哈哈永远的连续剧 多可爱的宝贝啊 wow 我就说怎么可能没有ice cream 靠放过我吧 谁是，我是 好家伙，人间芭比吧 我记得我以前图书馆看见帅哥还会激动一下，现在心平如水甚至还想让他往旁边稍稍 真好呀 人间扫描机的程度 追星真的是为了自己开心的，要我说什么空瓶数据女工打投粉丝群全不搞了，哪个idol态度好又敬业，就考虑买张ep支持一下，让他们都好好清醒清醒 好家伙北北威武 明天就决定是你了 这个顺毛真的好可爱 居然都是我i的美女 好家伙pp这个睫毛是每次看见了都会感叹的程度 哈哈哈哈哈哈哈哈哈哈哈 RM 我说今天中午怎么新一期还分期了mmp这次真的被ex到了…… 哈哈哈哈夺笋呐
2	 快来听何老师唱歌 彭冠英真的好帅虽然顶着个大黑眼圈也抵挡不住他的魅力而且为什么一到这些男人戏份就这么甜女主仿佛跟他们不在一个世界罢了也挺好 没想到啊…快来看 白雪皑皑一抹红 哇哇哇！ 啧啧啧 味道好香好滋润我好爱爱爱还送了一份宣传册等我去打卡 我妥协还不行吗 我可太喜欢了七百多一套呜呜呜可能啥时候我一狠心就买了吧  哈哈哈哈哈哈弟弟皮都快被扒掉一层了 我合理怀疑剩下的37%的男生可能长得不错 哈哈哈哈我笑死 我晕了怎么这么油腻的动作都能这么可爱 还挺好玩 哈哈哈哈哈哈哈哈哈哈糊弄学大师没你不行 马一个  哈哈哈哈哈哈啊哈哈哈哈  微博后看雪  很早之前朋友送的耳夹那时候还没打耳洞也觉得不是很日常就闲置起来了今天试了试感觉还不错的亚子  就tm离谱 啊 无人区玫瑰真的好好闻淡淡的玫瑰香 不像柏林少女过于浓烈越想细闻越是感觉差点味道想要狠狠吸好好品味没有晕香的感觉我爱了 哈哈 终于 虽然后来慢慢弃漫了 分享歌单复古烟嗓 爵士 蓝调布鲁斯（ 晚睡的粉丝有糖吃 当一件坏事发生的时候头痛欲裂的感觉就是先兆 呜呜呜呜呜呜是真爱 woc 巴莉甜甜的新品奶油太好吃了 王安宇 我直接 我的小狗最可爱  小手手举起来 日照红茶不好喝 懂了吗
2	 梦回太空备忘录 啊一年了哇 
0	 2020最后一天一激动吃多了然后导致肚子很疼胀气的感觉这么憨的行为虽然不是第一次但我还是要记录一下  《菊次郎的夏天》菊次郎的夏天-Summer ——风景如画，旋律优美。人生就像一次旅程，沿途会遇到各种风景，但最后我们都要回归。互相陪伴的时光，就是最好的时光正南看到了长大的希望菊次郎也收获了童年的快乐非常非常治愈非常非常温暖非常非常令人感动的一部电影笑着笑着就被感动了 菊次郎的夏天   好治愈哦 『红色经典曲目音乐会』 电工技术实验考试甚合我意 晚上被吵的睡不着，早上不是自然醒还是被吵醒的就很生气 还是这个听着舒服 这电音真的绝了啊 震惊，刚刚看到这个片段我才发现这修音修的也太过分了吧，哪是这个声音啊，中间还有一段厚重的男音简直了啊 《我不是药神》没有绝对的对与错，只在人心——人间最高贵的是善良，是对生命的致敬——命就是钱——有的病人买不起啊，那就没办法了，进入急变期，就只有等死了——不过，我相信今后会越来越好，希望这一天能早一点到来——愿你生而平凡，却不忘创造更美好的世界 快让我速速重温 看抖音他们跳的看了半天才意识到这是啥歌 学长学姐加油！  大半夜的气的我肝疼（真的疼我专门去搜肝在哪了） 乱七八糟 圣诞圣诞快乐呀 《肖申克的救赎》Hope is a good thing, maybe the best of things, and no good thing ever dies.自由希望救赎会再看几遍的 新年快乐！ 啊啊啊啊啊啊新年快乐！！！ 新年这一刻（丝芭家族版） 小鹿生气时会怎么样 沙和尚身高一丈二（四米）不愧是卷帘大将 冬至 你来时冬至 但眉上风止 《一点就到家》轻喜剧，快节奏，还讲点小道理，景美好看 《忠犬八公》“忠诚的意义在于我们不应该忘记爱过的每一个人”  得，昨晚又睡不着 大意了，上课睡得还挺好 “再乐观的人，也有绷不住的时候”，看哭了 又开始睡不好了 许佳琪上班图 嗷嗷嗷嗷嗷想不到词了，就很好看就很有气质，豪门大小姐的感觉   裂开电工技术唉 哈哈哈哈哈 溜肩真可爱 书包带儿天天往下溜 啊啊啊啊好久没吃辣子蒜羊血了 放假回家就安排！ 现在的我：好想打喷嚏我要打喷嚏难受的一匹 闲着没事，看了八佰太感动了会记住的 4.8公里低估学校面积了，说是绕着跑一圈，没想到这么长啊第一次跑这么远最后一公里很累，控制不住腿的感觉跑完就开始一直打喷嚏了，感冒了吧，这反应太快了，唉开始躺尸  突然想起来好久没看绵羊TV，Yes Ok 那段爷青回诶，许杨玉琢，快乐生活！熊钰清这个妹妹好棒  你又在山海经的哪一页哈哈哈哈哈哈这句话太妙了呀  事儿真多嘤！
0	  浪漫人不浪漫了快乐人不快乐了真心实意也不真心了  仔细想了想，这个学期好像都没有十二点之前睡过，熬夜人迟早掉光头发 我靠 半夜刷微博刷到张巨巨巨恐怖的图，吓得我现在都睡不着就不能推点阳间的东西嘛
2	 很烦 2020最后一个愿望赐我一个指甲剪 有点醒悟自己可能是病了 想放弃了 我是想要月亮 时常因为自己对很多事情太过冷静冷淡而自卑时常也因为把丰富的情感放在了别的地方而无法交流 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈救命救命救命！！我在干嘛啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈 面对自己包括外界都落落大方 我昨天兴高采烈地在相机集市上看上了这个戒指整个购物过程不超过不五分钟毫不犹豫买下那个老板告诉我它是手作记得洗澡的时候摘下来今天我在戒指内侧发现刻着Louis Vuitton………合着骗我呢！！！！！ 新玩具的焦外倒也够虚的 salute /一些/幸福她有好多好多 多的有些时刻我觉得完全没有遗憾了怎么形容就是你让我在这一刻死去我都觉得圆满或者特别浪漫起霞坡的风起了 南京·起霞坡  今天看到的图片 我发现只有在写小作文儿写信的时候我才不是文化沙漠！社会学概论和毛概论文不配我的爱！再见！就是不喜欢！ 天亮亮 我爱你！孙燕姿！ 该死！ 最近的快乐多到无法语言描述我终于去看到海了同时在某一时刻觉得流浪猫比家猫快乐好多其实我最喜欢的还是看见她跑来跑去的样子 围脖要更新more！more！ 说到这个我必须说桑格格四川话写作Noooooooo. 1！！！ 前11个月往死了down，结果整个十二月上扬！上扬！上扬！ 雪天开心 早好 2020/12/13 下雪啦 南京·南京师范大学  很幸福，双十二没有买啥，赶着时间给奶奶买了几箱牛奶让京东小哥送上门，想回去见她，我好爱她呀 还想着回去再给她换个屏幕大点儿的手机，那就是有好多好多盼头！ 可爱得我人没了！ 决定忙完这段时间重拾公众号哈哈哈（才不会说是因为今年没法改名字了呢！） 跟vv约了跨年康姆士，直接续命二十天，持续性亢奋 我好她妈幸福啊！ 操啊好酷！ 哈哈 今天又是新的一天！ 下下周去看海吧  怎么会有这么挫的人啊哈哈哈哈 我真的要哭了，每年这几天总是最幸福的日子  食堂阿姨扭扭屁股在做健身操，真的很可爱！ 我最近韩餐吃得次数之多让我现在看见部队锅就有种恶恶心心的感觉 想家了   啊！珍珠！我的敌人！ 
3	 啊啊啊啊啊，终于等到了！！！话说这是竖版 要开播了！！！！ 又来抢钱了 能悄悄问一下杀破狼吗 碎玉投珠新视角和凤凰家的有希望吗？  怎样会进去黑名单  碎玉投珠求问，如果买两家的书是免密支付更快还是其他支付方式更快！ 冲啊 好看啊啊啊 有签吗 晋江文学城晋江，我好想骂你啊！！！卡得要死，给一个大大的书评论投液，结果不知道怎么回事给那章评了0分！因为我没有实名认证所以看不到评论，然后我去实名认证，快半个小时了还没有成功！气死了！既然不实名不能显示评论，那就不实名不能充钱啊啊啊！！！希望明天一觉醒来我的实名认证成功了！ 来了 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 抽奖了 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 平安夜的仪式感 圣诞快乐啊！ 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 姐妹快来！ 没钱了啊啊啊啊 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 杀破狼gkd！！！！ 快来 什么时候开始啊，我现在都不敢继续睡懒觉  我是特优声 特优声太好看！！！今天一下全部看完了，完全不够看。不过希望能够请姜Sir，阿杰等他们做飞行嘉宾，毕竟他们是专业的。 我在微博之夜活动中，为old先投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在微博之夜活动中，为old先投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 快来啊 来了  抽奖了 工具人    好运好运 快来啊啊啊啊 我来了 我又来了 冲啊 快来  冲啊 我来了 冲啊  来了 快来啊啊啊啊
3	 BounPrem到了到了，奔走相告！！！过年和BP一起！！杀狗我也可以 BounPrem2943啦！！！只差50多了，冲不到也太可惜了吧！！！ 虽然有点早！！但是下周的考试拜托了！！ 真的真的要考过期末呀！！！ 希望接下来的所有考试通通飞过！！！求求了
3	 这图很好的诠释了我本人的性格——热情过头 今日 趣闻 网易云音乐年度总结 为什么大家的都很感动，只要我的很好笑音乐突然收费的愤怒之情真真让人感同身受 自制风干机，我可真厉害(ง ̀_́)ง！ 我决定了 以后找男朋友要找一个字正腔圆 说话中气足的我倒不是声控只是我发现我听力有点不好说话声音太小 我听不见 交流困难+++ 我本人 对自己 充分的自我认识
3	 他好像一梢清风，从我平淡的生命中轻轻掠过。也许不久之后很多人会遗忘他，他给我的悸动永远的从这个19岁的冬天开始，有效期无限。 只愿他长命百岁，岁岁平安喜乐。 洁白的仙鹤， 请把双翅借我， 不会远走高飞， 到理塘转转就回。 原来真的会对从未谋面的人思念至极。 真真宝贝❤️❤️❤️✨✨✨新年快乐！罗萨啦扎西德勒！ལ་གསར་ལ་བཀྲ་ཤིས་བདེ་ལེགས་ཞུ།  仙境吗我天TT一定要去！！   绝活 永远爱崽崽 爱你崽崽爱，一直只向着光明的未来前进吧～！！  啊啊啊啊啊啊啊好有画面感了  好棒的文笔  呜呜崽崽 真的赞   啊啊崽崽太可爱啦    害，下午看了好久各种黑子的发疯一样的黑话，有气过，现在也慢慢看开了，有些人就是生活过的不如意，来网络上找找存在感罢了，越理他们他们越得劲。默念默念，为了小事发脾气，回头想想又何必；别人生气我不气，气出病来无人替  我tm直呼内行      真真太帅太可爱啦！！！！  
3	     但那都不是今晚 不是现在  我觉得我可以  嘴角上扬了 老公老公老公 好好康啊  圣诞中个奖吧  第二  帽子呢  古神怎么都是弟弟呀  傻逼中南大学 还他妈不开空调学尼玛币恶心   这回抽不到我就说不过去了 hhhhhhhhhhhhhhhh艹 让我中一次 妈的长沙又下雪了  我我我 我好啦 奇迹暖暖 小红花送给自己  干巴爹   小时候都不敢让阿姨搓澡 好痛… 想去 战网崩了不愧是你啊暴雪 傻逼  毛概告辞  来啦 原来还有专门为轨道交通人拍的电视剧裂开了不愧随你台 hh 肖战什么时候死烦透了  奇迹暖暖 yeahyeahyeah   冲鸭
3	 拿朋友的手表看看看 如果可以，我不想过2020年的圣诞节。 格瑞生日快快快快快快快快快乐!!!!  阴婚了解一下
2	 我在 蹲直播带货从六点蹲到现在还没有到我要的突然觉得当主播好辛苦哦五六个小时不停讲话中途不带休息喝水的还有被我遗忘的微博 好像慢慢地忽略掉这个可以自说自话的小空间了我要回归这里还有好多库存没有发我好懒呜呜呜 大晚上刷抖音刷到螺蛳粉没忍住下了一单 准备在家煮 和我妈一起吃 圣诞的开心好喜欢大冰的小屋 友友们 明年见 没有复习周的大学生真的能被逼疯 只有这个特效能掩盖我因上火肿起的上嘴唇 午觉不宜久睡 两点睡到四点 脑瓜子到现在还是嗡嗡的下周就陆续开始考试了考完后的狂欢也预定成功啦现在就潜下心来好好复习这学期太短啦 好多事情没有完成 下半年加把劲吧 每天都觉得好快乐 但好像又 不是真的快乐摩羯座的内心戏为什么 这么多呢 ㊗️ 宝贝生日快乐希望年年陪你过 关于微信朋友圈我真的想说加好友不聊天就算了 朋友圈也不点赞是咋滴不点赞不评论还留彼此微信干啥留着以后借钱吗 我嘴凸 是真的
2	 好好休息 明年见 明天也没办法休息六点起 晚安啦熊熊 给我一顶圣诞帽 对我来说是非常不愉快的十二月，担惊受怕的十二 天，琐事缠身心力交瘁，希望所有的不开心不愉快都可以离开我向你敬礼，salute！ 考研酒店房价格暴涨10倍 这让考场离得远的考生住哪  姜老板 姜企业家 气运联盟首支mv 小熊呀 气运联盟首支mv 田鸿杰田鸿杰田鸿杰 电视剧大赏我已为 投出一票，和我一起选出2020年人气男性角色吧～人气男性角色   田鸿杰 电视剧大赏我已为 投出一票，和我一起选出2020年人气男性角色吧～人气男性角色 电视剧大赏我已为 投出一票，和我一起选出2020年人气电视剧吧～人气剧集  综绽放，逆流上！我最爱的综艺 入围2020年度微博综艺大赏 啦！关注 获取更多独家资讯！【戳下方即可参与投票】人气嘉宾投票火热进行中  CQ 田鸿杰  好哒好哒 不疯不神经 晚安 好家伙瞥了一眼我还以为被出轨了 诶嘿 听说在新装亮相的亚洲新歌榜给 的朋友圈-YKYBtao-黄子韬 打榜能瘦。
3	 分享单曲 完美夏天(Live) 别说批话可以吗 雯静：你在这等会我 我去给我们买个消食片   2020 last live 没人会想错过Joyside吧 十 七 岁 去浪费霓虹派对 
2	 年终总结 盒盒 刚点的外卖爱谁吃谁吃去 我这不就饱了嘛 介绍一下 我老公 kkk已经开始紧张了呢....^^ 都要健康平安 爷活了 甜甜 我晕 是女生宿舍没错吧 哈哈哈哈哈哈哈哈哈哈哈真的不能播啦 ？？没伯母我不看了哈 次人图鉴
3	 为了让C++过，我已经尽力了早上去学府城考试的路上特地什么井盖都没有踩只要是坑，我都 跨 过 去 了 ！一定要过了它，好吗？我的C++ 啊啊啊啊啊啊 怡怡子废话 如图我的心情烦死了这都是什么啊图书馆后面的人一直在说话，你说题可以，你声音呢么大干嘛，搞笑明天大物，我什么都看不懂极 度 暴 躁 怡怡子废话 计算机电路基础我＊＊＊晚安考试人 怡怡子废话 今天开心的是今晚的小细跟买到了！过年了要给妈妈送！买了两支！让她！换！着！涂！还有就是想要给爷爷爸爸也买点东西！阿巴阿巴真的好喜欢他们啊，很快（大概半月）就能见面了！今天的小韩是小富婆！还有还有今天不开心的是明天就要考试了俺要加油了 健康 致富 自由自在？好家伙我的那个系列又没有用了 怡怡子今天脱单了吗 2020.12.16没有 今夜无眠 怡怡子今天脱单了吗 2020.12.11没有 我已经没有下饭剧了，快点来吧呜呜呜 单纯为了评论区转的，粉丝好狠哈哈哈哈哈淦 怡怡子今天脱单了吗 2020.12.10没有 哦淦kdlkdl 怡怡子废话 这些都是什么la ji预习我真的顶不住了我要，哭了，啊淦 怡怡子废话 今天好丧啊好烦啊真的是突然任务重了，感觉今天心里压着好多事新人都是什么神仙，有的人怎么就不会呢，教了还是不会，都已经有想要辞了ta的心了 怡怡子今天脱单了吗 2020.12.08没有 怡怡子今天脱单了吗 2020.12.06没有 怡怡子废话 代码，我恨做计算机学子，是我不配了 怡怡子今天脱单了吗2020.12.05没有 怡怡子废话 最近好多事好多事真的不能丧！未来也有很多事要干了！以及，我什么时候才能有npy我好怕未来会变成爸妈张罗着相亲的人
3	 20年的最后一周了 我们下一年再见吧 ❄️ 十二月果然比较浪漫 听听freestyle吧 反应快这一块 小杀从不拉垮小杀站人群里就巨高脸巨小 以后都站着去人群里直播吧（不是 六级翻译 考个六级翻译 满脑子都是韩语 今天考的大兴机场 然后我连机场这种小学词汇都没写出来 啊机场是主题啊 我连主题词汇都空着了 这把玩的啥也不是以前网课韩语老师逼着连麦 咄咄逼人 逼的我脱口而出想用英语回答 我就是典型的该干啥不干啥今天看见pyq 내 친구汉语拼音也不会了 我又一次认清了自己 我以后再也不嘲笑零国语言拥有者了 好家伙 小杀一醒看见超话 是会捂住嘴笑出声的程度 我bb两句 我哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 听说有人想我了
