tweets,self-identity
  神经病啊！ ，  呜呜呜呜呜呜呜u 不要救我，我真的太累了 Repost 桌子上有吃的就吃 没吃的就玩桌子 我要用这个住进玛丽苏小说 一切尽在掌握之中！ 呀吼,0
            宝藏大男孩啊！！ 好看  ,0
 继续前行 下雪了，有人在想怎么约喜欢的人出来玩，有人在想晚上去哪里吃火锅，而我在想:一会下班，我的电动车会不会滑 打工人六点就起了，监考来挣钱 学习之后更加理解了人外有人，天外有天，优秀的人为什么那么多！ 是的！！ 想一切稳稳的,3
,2
 认认真真，踏踏实实，必有反响！ 上海·华东理工大学(徐汇校区) 每天健身房两个小时的挥汗如雨，每天放下杂念阅读1小时的自我洗涤，数年对学问的求索，孤独中的一杯小酒。这份执着和坚守，只为遇到更好的自己、成长为美丽的木棉、有自信去追求一切美好、值得拥有所该拥有的。 上海·华东理工大学(徐汇校区)    ,0
" 小龙虾嫩牛五方也太好吃了 我的微博之力微博之夜我的2020点滴印记，在微博记录，快点击【 我的微博之力 】来看看你的“微博之力”吧！2021料你好运 嘻嘻 祝我们都生日快乐 晕晕  恭喜BP 恭喜邓紫棋 微博头像挂件 这只梦想是毛茸茸的，我正在使用“团子的梦想”会员专属头像挂件，你也来试试吧！ 头像挂件：团子的梦想 Q：会开淘宝店吗A：never.......................................A：小红书品牌店现已正式上线小丑竟在我身边啊哈哈哈哈哈哈哈哈哈哈哈 淦 淦 冲了 啊哈哈哈哈融融长大啦 BLACKPINK圣诞节舞台既然点进来了那就一起看美女妮妮ipad 是浪漫的圣诞噢好温暖吖可惜我不在学校 G.E.M. 邓紫棋《Last Christmas (Live)》Last Christmas BLACKPINK《ラスト・クリスマス ～ 赤鼻のトナカイ (BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA"")》ラスト・クリスマス ～ 赤鼻のトナカイ Taylor Swift《Last Christmas》Last Christmas 这不就是我吗真他妈离谱 nb 学不完了学不完了学不完了 早上八点之前我要出门下午必吃心冻角五分钟后立即入睡 wc利玛窦牛逼 我现在看见1400字的英语论文居然会觉得不过1400而已又给了自己拖延的理由 很难不转发  激情转发 晚安短信计划hi 西安的实习小王老师 辛苦啦 祝你早日成为正式老师 也希望你以后遇见的学生都很乖 今天冬至记得吃饺子呀 在这里给您拜个早年啦 晚安！  给我一顶圣诞帽 cdcd 期待明天的好消息！！ 我在微博之夜活动中，为 投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！速戳微博KING和QUEEN投票，助他登上荣誉宝座！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在微博之夜活动中，为 投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！点击微博KING和QUEEN投票，为她摘得荣誉桂冠！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在2020微博之夜活动中，通过粉丝群互动为邓紫棋拉了10票！为Ta打榜，登顶微博KING和QUEEN，快来应援走起 ！微博之夜 我在微博之夜活动中，为 投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！点击微博KING和QUEEN投票，为她摘得荣誉桂冠！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在微博之夜活动中，为 投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！速戳微博KING和QUEEN投票，助他登上荣誉宝座！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在2020微博之夜活动中，通过粉丝群互动为邓紫棋拉了10票！为Ta打榜，登顶微博KING和QUEEN，快来应援走起 ！微博之夜 我在微博之夜活动中，为邓紫棋投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！点击微博KING和QUEEN投票，为她摘得荣誉桂冠！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 我在2020微博之夜活动中，通过粉丝群互动为邓紫棋拉了10票！为Ta打榜，登顶微博KING和QUEEN，快来应援走起 ！微博之夜 我在微博之夜活动中，为蔡徐坤投出了宝贵的5票！微博KING和QUEEN花落谁家，由你来定！速戳微博KING和QUEEN投票，助他登上荣誉宝座！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 蔡徐坤《情人》情人 我好饿啊我好饿啊我想吃炸鸡我想吃年糕我想吃日料我想吃火锅我想吃烤鱼我想吃巧克力我想吃方便面我想吃烧烤我想吃麻辣烫我想吃辣条我想吃红薯我想吃薯片我想吃奥利奥奶茶我想吃冰淇淋我想吃蛋挞  微博放映厅 试试就试试  摩尔庄园终于等到你！！gkdgkd 今天是圣诞老人来中国隔离的第四天 你不知道 因为你只关心你自己 早日巡演！！！ 我也想看流星雨 茶颜悦色我好想你 泰勒斯威夫特31岁生日快乐泰妈妈生日快乐 听说长沙下雪了所以我今年能看到长沙的雪吗  晚安 太阳早安 月亮 分享视频 喝Costa的奥利奥拿铁记得要搅匀喝否则就会像我一样一边说苦一边喝完上面的拿铁最后发现底下剩了厚厚一层奥利奥巧克力酱喊腻 ahhahahhahahhajjajahhahhaha 我参与了 发起的【邓紫棋dzq  ？？？？？ 如果我有罪请让法律来制裁我而不是让我一天做两个seminar一个pre 邓紫棋刺绣连衣裙迪奥大秀造型图 555解解太美了太美了姐以后多穿裙子多大波浪吧 牛逼已经说倦了 钱不钱的不重要 主要是想吃辣条  眼泪从嘴巴里流出来 恭喜邓紫棋 邓紫棋白羽毛拖地长裙555邓紫棋终于穿裙子了好看好看好好看期待邓紫棋今晚带来的表演呀 我草我草我草555穿裙子了55555 ",0
 明天顺利吧！！ 明天顺利吧 我真的好差劲啊,2
 年终总结 盒盒 刚点的外卖爱谁吃谁吃去 我这不就饱了嘛 介绍一下 我老公 kkk已经开始紧张了呢....^^ 都要健康平安 爷活了 甜甜 我晕 是女生宿舍没错吧 哈哈哈哈哈哈哈哈哈哈哈真的不能播啦 ？？没伯母我不看了哈 次人图鉴,2
,0
 前向き！大家新年快乐！ 可爱！ 我们崽崽就是最厉害的！ 这算是爱豆 福利了！ 我的微博之力微博之夜我的2020点滴印记，在微博记录，快点击【 我的微博之力 】来看看你的“微博之力”吧！2021料你好运 我真的烦透了在霓虹看病的必经对话！我：我xxx疼，医生你觉得是什么问题？医生：你觉得你是什么病？我：啊，ooo吧？医生：这个可以（疯狂录入ooo病例）我：等一下…？ 大半夜看了综艺立马关注了这位帅哥 大快人心！最好当典型来重罚重判 哇，姐你好美 雾草草草，谁演啊 雾草草草  崽崽可爱！ ,2
 梦回太空备忘录 啊一年了哇 ,2
